,ランク,商品名,価格,商品URL
16,17,パティスリー キハチ 御中元 御中元ギフト お中元ギフト プレゼント お中元 スイーツ 送料無料 お菓子 御菓子 内祝い お菓子 内祝い 手土産 お菓子 手土産 焼菓子ギフト 8種15個入百貨店でも人気！食べ物 誕生日 高級 40代 50代 60代 70代 80代 90代,3240,https://item.rakuten.co.jp/kihachi/k12013/
17,18,送料無料 資生堂パーラー フリュイジュレ8個入 FG30 ゼリー ギフト プレゼント 東京・銀座 ゼリー 詰め合わせ フルーツ お祝い スイーツ のし 配送日指定可 包装 リボン メッセージカード 帰省 手土産 お盆 お供え お中元 暑中見舞い 2021年4月度月間優良ショップ受賞,3240,https://item.rakuten.co.jp/shiseido-parlour/75612/
18,19,お中元 千疋屋 ゼリー パティスリー銀座千疋屋 ギフト Gift 贈り物 送料無料 銀座ゼリーB（9個入）,3240,https://item.rakuten.co.jp/ginza-sembikiya/899270/
19,20,【エントリーでP11倍】HTF-40 送料無料 お届けは8/31迄 テリーヌ・ドゥ・フリュイ 9コ入リ御中元 お中元 残暑見舞い お供え お菓子 スイーツ 洋菓子 手土産 お返し 贈り物 アンリ 出産 内祝 お礼 暑中見舞い 帰省土産 お盆,4320,https://item.rakuten.co.jp/henri-charpentier/772346/
20,21,お中元 御中元 スイーツ 2021 ギフト お菓子 送料込み ネット限定神戸・港町の午後S【日本ギフト大賞兵庫県賞受賞】神戸壺プリン 神戸壷プリン 内祝い お取り寄せスイーツ お菓子 内祝 【TV・雑誌・デパ地下で話題】,4298,https://item.rakuten.co.jp/frantz/set-minato03/
21,22,【2021お中元｜送料無料】銀座千疋屋　銀座フルーツジュレ　5種　12個入,4810,https://item.rakuten.co.jp/usamart/p3010420000024/
22,23,お中元 ギフト プレゼント 送料無料 おしゃれ 生チーズケーキ 詰め合わせ 12個入 プリン ケーキ 健康スイーツお取り寄せ スイーツ お菓子 誕生日 内祝 健康 フルーツ プチギフト 結婚式 ご挨拶 お土産 出産祝 退職祝 お返し 御礼 父の日 ギフト,4980,https://item.rakuten.co.jp/kasyou-morin/morin-healthy-12-saika/
23,24,期間限定・送料無料 フルートジェリー 16本入 千疋屋総本店,5940,https://item.rakuten.co.jp/sembikiya/0854-55sm/
24,25,公式 丸福珈琲店 お試しセット こだわり珈琲店のなめらかプリン＆珈琲プリン＆抹茶プリン プリン 珈琲 抹茶 スイーツ 美味しい ギフト プレゼント お中元 お中元ギフト,2680,https://item.rakuten.co.jp/mfcoffee/ot-p4cp4mp4/
25,26,ギフト 敬老の日 お中元 プレゼント 誕生日 に大人気！ 皮も丸ごと フルーツゼリー ドライフルーツ5個 スイーツ ギフト フルーツプレゼント 送料無料 応援 福袋 お菓子 花以外 洋菓子 ゼリー バースデー ジャム お中元ギフト,2980,https://item.rakuten.co.jp/fukukame/hahazeri-/
26,27,御中元 お中元 ギフト プレゼント 送料無料 スイーツ 誕生日プレゼント玉華堂の極プリン5個入 送料無料(北海道、沖縄別途送料700円)「お中元 お取り寄せ お菓子 人気 ギフト 2021 誕生日 プレゼント 内祝い プチギフト ランキング 1位」,2980,https://item.rakuten.co.jp/gyokkado/648596/
27,28,銀座千疋屋 銀座ゼリー 6種類 9個 SK148 千疋屋 ゼリー スイーツ お取り寄せ 夏 洋菓子 詰め合わせ プレゼント 食品 食べ物 セット フルーツ 手土産 お祝い おすすめ 日持ち 内祝い お返し のし お礼 女性 果物 孫 ギフト 送料無料 お中元 御中元 2021 お中元ギフト 個包装,3240,https://item.rakuten.co.jp/nattokushop/sk148/
28,29,送料無料 銀座千疋屋特選 デラックスゼリー詰合せ : 千疋屋 ゼリー ギフト 内祝い お中元,5400,https://item.rakuten.co.jp/1894ginza-sembikiya/10000941/
29,30,ブールミッシュ 御中元 送料無料 サマー・ギフト18個入り『常温配送』《YPS-A》ゼリー 詰め合わせ 詰合せ 御中元 出産祝い 内祝 お返し お土産 夏季限定 スイーツ ギフト 帰省土産 お盆 御供　暑中御見舞,3240,https://item.rakuten.co.jp/boulmich/m3-r_yps-a/
